,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xc24fd54b9b5cdA69ef9D0592d23c3A2E82be3529,0x2A62Fb700d61dA9aEAf87e61d5809d7ac3F1BbD2,0.05169320106506348,0.0,0.06490421295166016,0.0,0.7886769771575928,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0x401Ec49c34e49ED9D88D3376D287C11C03BEDa8e,0x4D83A8a7c428fC6B08476c959f916b9bcf260a5F,0.04802989959716797,0.0,0.06453871726989746,0.0,0.6044530868530273,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x25D760aBDa52681f39E5Ca6D8bC0caF88A99F946,0xC487a5475dC1038C07FFBe7Fca24ab6fe2234e9D,0.04691338539123535,0.0,0.06581401824951172,0.0,0.5821998119354248,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0xDe051Cb0fe50D528147B5d27e295AB606e243aD3,0xAd344e6816E094e9cB7fEd9078Ab5DDdA4B88f35,0.058481454849243164,0.0,0.06389212608337402,0.0,0.5154590606689453,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0xD5F5fD65793c2BCbAB123b463432a6f6c7495257,0x896D4836cBEBF188C7577225FACc1d592a0A889e,0.04563450813293457,0.0,0.06464362144470215,0.0,0.5273318290710449,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0xF46E848a137BcCced1d54AF8c1189485d0dc6b9B,0x2E4753bB2DE92D3f126f173BaAaf849De7EbBc97,0.07720327377319336,0.0,0.06711506843566895,0.0,0.5457839965820312,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0x0f6bAd963b5142F7739Ac7cF580Ba729aE8b0821,0x8fBC747F22bAc8a1d2bfb7f5C25Acd09138F8546,0.05595564842224121,0.0,0.06363487243652344,0.0,0.5614767074584961,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x8Ea68784f7D4105208e44Bedb03bde00ae1D0411,0x87f93FaAe09645df2c5AcaD2B90887CC4b17EbdC,0.06818985939025879,0.0,0.06536245346069336,0.0,0.49896740913391113,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0xC57e337636A1EA02a35C5876e9197aA453f9CC48,0xD5790E617E2c80dcaEb7744f0682Cc198E0FBC23,0.045966148376464844,0.0,0.06419205665588379,0.0,0.6401786804199219,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x19543Df29eCF2cc3FF21315EdA90042e2C48fB27,0xE003D8fDFE1Be5256A30C4d5B859CB988682540D,0.04791855812072754,0.0,0.06414985656738281,0.0,0.5058977603912354,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
10,patient,0x208bf20329cc135A9eC276517E449B2A8248e954,0x8E2CCc64dAc4605B8e4E03D74496E369cAf37a78,0.04631400108337402,0.0,0.06499052047729492,0.0,0.5129141807556152,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
11,patient,0x51ceA9424FB910C6fFAa61E8d56Da28b1c42A983,0xedda13E1650000Ed1d34B9878aCE5c0321C717C5,0.046477556228637695,0.0,0.06429123878479004,0.0,0.5359599590301514,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
12,patient,0xf096579e80f4C39AE206a4cE28A4E8315e87fCcA,0x1fa3e4022aFE70E60678B7E3910660400e4B203e,0.047180891036987305,0.0,0.0636756420135498,0.0,0.555046796798706,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
13,patient,0x2f9ff7Fb07e632674A8B5283D7EADA05fd5A6454,0x1069521b7Dd7dA109D70Ffb17AcAea2D2cF9F7dE,0.04698538780212402,0.0,0.06690454483032227,0.0,0.5655264854431152,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
14,patient,0xbCA802794503F2f5382A9B6717d374918C571Bb0,0xA1b5D54241bd6B9a0bc75E31D18b992872832D2c,0.07810163497924805,0.0,0.0659341812133789,0.0,0.5059866905212402,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
15,patient,0x51602384d691b0A0Ca8EcEdEF5cE9f7FC3DBD6c9,0xA14B8f0490Da8ae4783F0442f5bE3Dd7F3341dd0,0.04650688171386719,0.0,0.0642392635345459,0.0,0.49631667137145996,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
16,patient,0xaED7cEab1F8e3E7aDaDea9ca2F3dd2bF1594C00b,0x81f7B55293f6c1C8C2b6BaF21c6d7F5b88fdB669,0.04737687110900879,0.0,0.06778764724731445,0.0,0.5555160045623779,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
17,patient,0x23019296A41f0d42bB2B5BE9DF1b981aFf1034A3,0x3703183C132E2cfcF6A8cdD9207B1F1758FefA29,0.06863093376159668,0.0,0.0660090446472168,0.0,0.544816255569458,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
18,patient,0x129999d48AF92DEEA0DfBC3e21e51F1974F9B0aE,0x4cD893b1949c4f44a3C629159328C684ca863eF3,0.3954911231994629,0.0,0.06455111503601074,0.0,0.5121281147003174,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
19,patient,0x1B52a062b18855a82f8Ef03207BF72BB186E240B,0x6017d38Ed98e265408B02244C7C6cB6f46DF6F73,0.047257423400878906,0.0,0.06592679023742676,0.0,0.513601541519165,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
